Score: -187.34956, Count: 1
Score: -187.36609, Count: 1
Score: -187.45638, Count: 1
Score: -187.47212, Count: 1
Score: -187.49417, Count: 1
Score: -187.56209, Count: 1
Score: -187.59709, Count: 1
Score: -187.96347, Count: 1
Score: -187.97699, Count: 1
Score: -188.05661, Count: 1
Score: -188.29486, Count: 1
Score: -188.32608, Count: 1
Score: -188.3654, Count: 1
Score: -188.37239, Count: 1
Score: -188.42894, Count: 1
Score: -188.5502, Count: 1
Score: -188.57599, Count: 1
Score: -188.65195, Count: 1
Score: -188.67212, Count: 1
Score: -188.78384, Count: 1
Score: -188.94785, Count: 1
Score: -189.09705, Count: 1
Score: -189.10266, Count: 1
Score: -189.29272, Count: 1
Score: -189.37163, Count: 1
Score: -189.4806, Count: 1
Score: -189.6891, Count: 1
Score: -189.76762, Count: 1
Score: -189.79683, Count: 1
Score: -189.79767, Count: 1
Score: -189.81877, Count: 1
Score: -189.83003, Count: 1
Score: -190.15193, Count: 1
Score: -190.21565, Count: 1
Score: -190.243, Count: 1
Score: -190.52386, Count: 1
Score: -190.58011, Count: 1
Score: -190.59525, Count: 1
Score: -190.72249, Count: 1
Score: -191.00803, Count: 1
Score: -191.36278, Count: 1
Score: -191.40988, Count: 1
Score: -191.69014, Count: 1
Score: -191.78749, Count: 1
Score: -191.78795, Count: 1
Score: -191.7933, Count: 1
Score: -191.81602, Count: 1
Score: -192.06017, Count: 1
Score: -192.17139, Count: 1
Score: -192.2098, Count: 1
Score: -192.21242, Count: 1
Score: -192.26083, Count: 1
Score: -192.29663, Count: 1
Score: -192.34409, Count: 1
Score: -192.5209, Count: 1
Score: -192.6419, Count: 1
Score: -192.8161, Count: 1
Score: -192.83337, Count: 1
Score: -192.85236, Count: 1
Score: -192.9517, Count: 1
Score: -193.0231, Count: 1
Score: -193.03308, Count: 1
Score: -193.05536, Count: 1
Score: -193.0685, Count: 1
Score: -193.1941, Count: 1
Score: -193.24844, Count: 1
Score: -193.29929, Count: 1
Score: -193.55455, Count: 1
Score: -193.58972, Count: 1
Score: -193.59969, Count: 1
Score: -193.77032, Count: 1
Score: -193.78091, Count: 1
Score: -193.81416, Count: 1
Score: -193.82227, Count: 1
Score: -193.83554, Count: 1
Score: -193.86009, Count: 1
Score: -193.99722, Count: 1
Score: -194.04935, Count: 1
Score: -194.05928, Count: 1
Score: -194.11758, Count: 1
Score: -194.15538, Count: 1
Score: -194.19154, Count: 1
Score: -194.20512, Count: 1
Score: -194.23297, Count: 1
Score: -194.25583, Count: 1
Score: -194.28851, Count: 1
Score: -194.29709, Count: 1
Score: -194.31546, Count: 1
Score: -194.39716, Count: 1
Score: -194.42691, Count: 1
Score: -194.58716, Count: 1
Score: -194.59941, Count: 1
Score: -194.6272, Count: 1
Score: -194.63109, Count: 1
Score: -194.6476, Count: 1
Score: -194.69289, Count: 1
Score: -194.7202, Count: 1
Score: -194.81609, Count: 1
Score: -194.86876, Count: 1
Score: -194.90881, Count: 1
Score: -195.0425, Count: 1
Score: -195.11284, Count: 1
Score: -195.13658, Count: 1
Score: -195.3325, Count: 1
Score: -195.33546, Count: 1
Score: -195.36981, Count: 1
Score: -195.38557, Count: 1
Score: -195.41971, Count: 1
Score: -195.42633, Count: 1
Score: -195.49713, Count: 1
Score: -195.53899, Count: 1
Score: -195.64294, Count: 1
Score: -195.7865, Count: 1
Score: -195.87784, Count: 1
Score: -195.88066, Count: 1
Score: -196.01321, Count: 1
Score: -196.09424, Count: 1
Score: -196.13329, Count: 1
Score: -196.16875, Count: 1
Score: -196.18695, Count: 1
Score: -196.18947, Count: 1
Score: -196.24144, Count: 1
Score: -196.38162, Count: 1
Score: -196.53998, Count: 1
Score: -196.59279, Count: 1
Score: -196.70245, Count: 1
Score: -196.71837, Count: 1
Score: -196.75385, Count: 1
Score: -196.7544, Count: 1
Score: -196.76881, Count: 1
Score: -196.78256, Count: 1
Score: -196.80307, Count: 1
Score: -196.82597, Count: 1
Score: -196.87788, Count: 1
Score: -197.01918, Count: 1
Score: -197.1088, Count: 1
Score: -197.21349, Count: 1
Score: -197.31415, Count: 1
Score: -197.35599, Count: 1
Score: -197.4694, Count: 1
Score: -197.47406, Count: 1
Score: -197.51842, Count: 1
Score: -197.6693, Count: 1
Score: -197.67377, Count: 1
Score: -197.71133, Count: 1
Score: -197.75972, Count: 1
Score: -197.89302, Count: 1
Score: -197.9103, Count: 1
Score: -197.92001, Count: 1
Score: -198.12048, Count: 1
Score: -198.12999, Count: 1
Score: -198.2294, Count: 1
Score: -198.24274, Count: 1
Score: -198.25478, Count: 1
Score: -198.29594, Count: 1
Score: -198.3096, Count: 1
Score: -198.3171, Count: 1
Score: -198.3344, Count: 1
Score: -198.3481, Count: 1
Score: -198.40704, Count: 1
Score: -198.51634, Count: 1
Score: -198.6318, Count: 1
Score: -198.69804, Count: 1
Score: -198.94598, Count: 1
Score: -198.94691, Count: 1
Score: -198.98569, Count: 1
Score: -199.20364, Count: 1
Score: -199.42937, Count: 1
Score: -199.59888, Count: 1
Score: -199.59978, Count: 1
Score: -199.68475, Count: 1
Score: -199.69203, Count: 1
Score: -199.70593, Count: 1
Score: -199.70613, Count: 1
Score: -199.73085, Count: 1
Score: -199.76903, Count: 1
Score: -199.78616, Count: 1
Score: -199.90628, Count: 1
Score: -199.96777, Count: 1
Score: -200.16121, Count: 1
Score: -200.19951, Count: 1
Score: -200.20796, Count: 1
Score: -200.21587, Count: 1
Score: -200.22198, Count: 1
Score: -200.23444, Count: 1
Score: -200.2591, Count: 1
Score: -200.41266, Count: 1
Score: -200.52869, Count: 1
Score: -200.62413, Count: 1
Score: -200.76764, Count: 1
Score: -200.83644, Count: 1
Score: -200.85681, Count: 1
Score: -200.8619, Count: 1
Score: -200.9744, Count: 1
Score: -201.05759, Count: 1
Score: -201.09117, Count: 1
Score: -201.22295, Count: 1
Score: -201.35596, Count: 1
Score: -201.37512, Count: 1
Score: -201.40898, Count: 1
Score: -201.44072, Count: 1
Score: -201.44751, Count: 1
Score: -201.45337, Count: 1
Score: -201.49161, Count: 1
Score: -201.51498, Count: 1
Score: -201.61363, Count: 1
Score: -201.63162, Count: 1
Score: -201.71886, Count: 1
Score: -201.79196, Count: 1
Score: -201.80301, Count: 1
Score: -202.00919, Count: 1
Score: -202.09676, Count: 1
Score: -202.24292, Count: 1
Score: -202.3005, Count: 1
Score: -202.36008, Count: 1
Score: -202.40175, Count: 1
Score: -202.47914, Count: 1
Score: -202.55774, Count: 1
Score: -202.63686, Count: 1
Score: -202.65324, Count: 1
Score: -202.75519, Count: 1
Score: -202.76411, Count: 1
Score: -202.7862, Count: 1
Score: -202.92865, Count: 1
Score: -202.94864, Count: 1
Score: -202.99615, Count: 1
Score: -202.99683, Count: 1
Score: -203.0321, Count: 1
Score: -203.17218, Count: 1
Score: -203.23253, Count: 1
Score: -203.23697, Count: 1
Score: -203.2573, Count: 1
Score: -203.30176, Count: 1
Score: -203.31831, Count: 1
Score: -203.35089, Count: 1
Score: -203.35213, Count: 1
Score: -203.40906, Count: 1
Score: -203.41924, Count: 1
Score: -203.46219, Count: 1
Score: -203.60164, Count: 1
Score: -203.60913, Count: 1
Score: -203.71646, Count: 1
Score: -203.78769, Count: 1
Score: -203.84589, Count: 1
Score: -203.86089, Count: 1
Score: -203.91121, Count: 1
Score: -204.08112, Count: 1
Score: -204.1414, Count: 1
Score: -204.23021, Count: 1
Score: -204.49628, Count: 1
Score: -204.50537, Count: 1
Score: -204.65047, Count: 1
Score: -204.6842, Count: 1
Score: -204.7173, Count: 1
Score: -204.87172, Count: 1
Score: -204.98213, Count: 1
Score: -204.98769, Count: 1
Score: -205.18645, Count: 1
Score: -205.20229, Count: 1
Score: -205.23267, Count: 1
Score: -205.25548, Count: 1
Score: -205.33617, Count: 1
Score: -205.4659, Count: 1
Score: -205.46608, Count: 1
Score: -205.50044, Count: 1
Score: -205.65283, Count: 1
Score: -205.82924, Count: 1
Score: -205.90504, Count: 1
Score: -205.93144, Count: 1
Score: -206.04567, Count: 1
Score: -206.06825, Count: 1
Score: -206.17087, Count: 1
Score: -206.18367, Count: 1
Score: -206.24077, Count: 1
Score: -206.35983, Count: 1
Score: -206.3989, Count: 1
Score: -206.50734, Count: 1
Score: -206.64151, Count: 1
Score: -206.6954, Count: 1
Score: -206.712, Count: 1
Score: -206.78183, Count: 1
Score: -206.87071, Count: 1
Score: -206.90149, Count: 1
Score: -206.94319, Count: 1
Score: -206.9702, Count: 1
Score: -207.00742, Count: 1
Score: -207.01576, Count: 1
Score: -207.02525, Count: 1
Score: -207.03108, Count: 1
Score: -207.04108, Count: 1
Score: -207.11134, Count: 1
Score: -207.12288, Count: 1
Score: -207.15295, Count: 1
Score: -207.15802, Count: 1
Score: -207.20975, Count: 1
Score: -207.33044, Count: 1
Score: -207.34337, Count: 1
Score: -207.38838, Count: 1
Score: -207.50246, Count: 1
Score: -207.55151, Count: 1
Score: -207.58981, Count: 1
Score: -207.59164, Count: 1
Score: -207.60083, Count: 1
Score: -207.81267, Count: 1
Score: -207.81876, Count: 1
Score: -207.91055, Count: 1
Score: -207.98662, Count: 1
Score: -207.98883, Count: 1
Score: -208.01051, Count: 1
Score: -208.0742, Count: 1
Score: -208.14499, Count: 1
Score: -208.22345, Count: 1
Score: -208.25179, Count: 1
Score: -208.2915, Count: 1
Score: -208.31027, Count: 1
Score: -208.31154, Count: 1
