-8/33,0,0,1,-5,-2,2,-3,-2,-3,-1,-9,10,-6,-6,8,-9,8,-1,5,-5,8,-1,-16,10,-12
-4/9,0,0,1,-5,-1,2,-4,1,-4,-4,3,-5,-5,4,4,6,0,2,2,-15,-7,-10,-4,-14,2
23/33,0,0,4,1,-2,6,5,-2,-7,9,-9,-7,-2,4,-8,6,-11,-6,4,3,14,12,2,-6,18
20/33,0,0,0,-5,-2,2,2,1,6,-4,1,-3,-6,-2,-8,0,-9,13,-13,4,-7,-16,3,6,-6
90/67,-1,0,0,-5,-1,-6,6,1,-3,10,10,-2,0,-10,0,-2,-13,-2,0,4,-13,-10,-9,6,9
25/17,0,-2,0,1,2,1,-2,1,-3,10,-9,-2,4,-1,0,6,6,-5,12,0,-14,-9,2,1,-6
32/21,0,0,2,-5,-5,-5,-3,1,3,-2,3,6,2,-2,12,0,-12,-3,-12,14,-9,6,4,-13,8
-4/23,0,2,0,-5,4,2,2,1,0,7,4,-3,2,-1,-6,-2,-10,1,-14,0,-8,-4,6,12,11
-8/13,0,2,2,0,4,-2,-6,-2,6,6,-4,-7,-6,-4,-7,-11,-4,8,8,5,-9,-16,-4,18,-9
-11/14,0,-2,2,-5,0,0,5,1,4,6,-4,5,6,4,-11,1,-1,-5,11,5,-10,8,-12,18,8
-8/11,0,-2,-2,-5,-2,-5,1,0,-6,2,10,-1,3,7,-8,-11,0,-1,3,9,-4,13,-15,0,12
5/8,0,2,0,-5,-1,6,1,-2,-3,-8,-1,5,6,-4,-10,7,1,-12,2,-9,0,8,17,12,10
13/30,0,0,0,3,-2,-7,4,1,-3,9,10,2,10,10,4,-12,-13,4,8,-4,-6,-10,-3,-9,17
11/28,0,-2,-3,-5,0,6,4,1,-6,-10,8,10,0,2,8,-2,-4,-11,8,-12,-8,-8,-10,1,-9
9/14,0,-3,4,-5,-2,-1,2,1,-4,4,-7,6,0,8,-1,0,-4,-1,8,15,-13,-1,16,-3,2
-73/13,0,-2,1,3,-1,-2,2,1,-3,10,1,-7,-9,-6,0,-2,1,-1,8,-12,-11,4,7,-3,-10
-9/2,0,0,-2,1,-5,0,-3,1,3,10,3,2,6,-6,11,-9,-7,4,-10,-15,-7,8,-15,-7,17
-14/3,-1,0,-3,1,6,-5,4,1,-8,-4,4,-7,8,0,7,5,-11,-11,0,3,8,-16,2,2,-2
-37/7,0,-2,2,-5,-5,-5,-6,-2,-8,5,-1,-11,-3,8,-6,-2,-1,2,12,-2,10,5,16,-14,-1
-37/3,0,0,4,-5,2,-5,3,-2,-8,6,-4,-11,2,4,11,-4,10,13,-3,-15,12,-10,-3,0,8
-40/7,0,-2,0,-5,6,4,-3,1,4,6,3,2,1,-4,2,6,2,-5,5,-9,-7,-1,-4,-3,2
-49/79,0,-2,1,1,-2,1,5,1,6,-5,10,-2,-4,8,0,-2,-14,-5,-14,8,-6,-8,-10,0,13
-7/11,0,2,0,1,-2,2,-3,1,4,-7,-5,5,-6,9,0,10,0,10,2,-15,11,-8,4,-3,-7
-5/11,0,-2,0,-5,-2,-1,5,-2,6,-10,-1,10,-9,1,-6,-2,-2,0,-12,0,2,-8,1,-7,16
-10/31,1,-2,0,1,4,4,-4,1,-6,-3,2,2,-6,12,-10,-2,-4,2,11,-3,4,4,16,-12,-18
-4/33,0,0,-3,1,-2,-5,-3,1,6,0,-4,8,12,4,0,-11,2,4,10,14,2,6,1,-12,14
-9/34,0,-3,1,1,-1,6,-2,-2,6,-2,-4,-2,0,-6,-4,2,6,2,-2,0,11,8,2,-9,-18
-9/10,0,-3,0,-5,0,1,5,0,2,-7,-9,-7,-5,-12,13,-3,4,-12,-2,4,7,11,-4,-17,8
22/39,1,0,-3,1,0,-2,4,-2,6,-5,-9,10,-4,8,6,-10,0,0,11,-4,-10,8,4,0,-2
17/38,0,2,2,0,6,-1,-8,-2,6,-10,-4,-2,6,12,11,5,-2,2,-12,-3,7,-16,0,1,12
11/19,0,-2,1,-5,0,-5,2,-2,-8,-2,3,-7,6,6,-6,1,-4,8,9,16,-10,11,-3,-10,12
23/37,0,-2,1,0,-2,-5,-6,1,-7,0,-5,-8,6,-9,10,-3,0,-1,-11,-15,2,-8,4,1,-14
-17/4,0,2,0,0,-3,6,-8,-2,-3,5,10,-2,1,7,-11,10,7,-4,-2,-12,11,10,-3,6,8
